date,category,search_group,search_term,query_variant,page,title,url,currency,price,old_price,rating,reviews,stock_status,stock_text
2025-12-25,Grocery,Grocery,oil,oil,1,Afia Corn Oil 1.6Liters,https://www.noon.com/egypt-en/corn-oil-1-6liters/N28863001A/p/?o=f3e9133b69b776bb,EGP,198,238,4.7,215,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Helwa Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N28863089A/p/?o=e79499dbcdce585e,EGP,337,404,4.5,627,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Crystal Sunflower Oil 5Liters,https://www.noon.com/egypt-en/sunflower-oil-5liters/N27711268A/p/?o=e4c9e3cd434155de,EGP,497,596,4.7,1.1K,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Afia Pure Sunflower Oil 100% - 700 ml,https://www.noon.com/egypt-en/pure-sunflower-oil-100-700-ml/Z0607F29352B42AD4A045Z/p/?o=z0607f29352b42ad4a045z-1,EGP,69,83,4.4,80,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Afia Corn Plus Oil - 700 ml,https://www.noon.com/egypt-en/corn-plus-oil-700-ml/Z4B4574EA1B26E05978E4Z/p/?o=z4b4574ea1b26e05978e4z-1,EGP,84,101,4.5,69,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Crystal Corn Oil 3.5Liters,https://www.noon.com/egypt-en/corn-oil-3-5liters/N33645784A/p/?o=ae1fe569ae4de81b,EGP,419,503,4.7,227,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Greek Extra Virgin Olive Oil 1000 ml,https://www.noon.com/egypt-en/greek-extra-virgin-olive-oil-1000-ml/Z59C7BE0562F2B1566CFBZ/p/?o=z59c7be0562f2b1566cfbz-1,EGP,999,,4.4,21,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Qaleya Mixed Oil 1Liters,https://www.noon.com/egypt-en/mixed-oil-1liters/N27711432A/p/?o=bd8540e20388ba9a,EGP,80,,4.7,129,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,OLIVE Extra Virgin Olive Oil |Perfect for Cooking healthy Antioxidant| Cold Pressed | 500ml,https://www.noon.com/egypt-en/extra-virgin-olive-oil-perfect-for-cooking-healthy-antioxidant-cold-pressed-500ml/Z94EC3BB8253C0A731FBAZ/p/?o=z94ec3bb8253c0a731fbaz-1,EGP,450,,4.5,27,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Hala Sunflower Oil Bottle 700 ml,https://www.noon.com/egypt-en/sunflower-oil-bottle-700-ml/Z3E47CF97115927C3D8FBZ/p/?o=d75fcaab7b87453c,EGP,74.25,89,4.8,5,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Hanady Mixed Oil 1Liters,https://www.noon.com/egypt-en/mixed-oil-1liters/N29980048A/p/?o=d3a09b9785b1bd6f,EGP,79,95,4.5,216,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Afia Corn Oil plus 1.6Liters,https://www.noon.com/egypt-en/corn-oil-plus-1-6liters/N44940200A/p/?o=f733f84fe5037aee,EGP,184,221,4.6,181,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,"Biohayah, Extra Virgin Olive Oil 500ml",https://www.noon.com/egypt-en/biohayah-extra-virgin-olive-oil-500ml/ZD07BAC562AAD690FFFDEZ/p/?o=zd07bac562aad690fffdez-1,EGP,620,,5.0,1,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Crystal Corn Oil Spray 200ml,https://www.noon.com/egypt-en/corn-oil-spray-200ml/N30429819A/p/?o=a8cb826a3e91a6ff,EGP,25,30,4.5,228,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Smart Value Olive Oil 250 ml,https://www.noon.com/egypt-en/smart-value-olive-oil-250-ml/Z0E9B4C7D99461B09E75EZ/p/?o=z0e9b4c7d99461b09e75ez-1,EGP,100,110,3.9,4,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Greek Extra Virgin Olive Oil 1000ml,https://www.noon.com/egypt-en/greek-extra-virgin-olive-oil-1000ml/Z3DDC4DFEF3510B62C77EZ/p/?o=z3ddc4dfef3510b62c77ez-1,EGP,999,,,,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Hedeya Mixed Oil 0.7Liters,https://www.noon.com/egypt-en/mixed-oil-0-7liters/N27711427A/p/?o=b70db959fd0f9dfc,EGP,59,,4.5,127,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Helwa Frying And Cooking Mixed Oil 1Liters,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-1liters/N42554207A/p/?o=d93b0ca6c16cb87f,EGP,79,95,4.5,165,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Premier Extra Virgin Olive Oil 500ml,https://www.noon.com/egypt-en/extra-virgin-olive-oil-500ml/Z367A81998C597BFADB20Z/p/?o=z367a81998c597bfadb20z-1,EGP,280,,5.0,2,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Helwa Frying And Cooking Mixed Oil 700ml,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-700ml/N42554206A/p/?o=f0937c8e9953946a,EGP,58,70,4.5,240,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,TERRA DELYSSA Premium Organic Extra Virgin Olive Oil Spray - 200 ml,https://www.noon.com/egypt-en/premium-organic-extra-virgin-olive-oil-spray-200-ml/Z2DEEC78CA86ED0B33907Z/p/?o=z2deec78ca86ed0b33907z-1,EGP,374,449,5.0,1,unknown,
2025-12-25,Grocery,Grocery,oil,oil,1,Iliada Olive Oil Extra Virgin 500ml,https://www.noon.com/egypt-en/olive-oil-extra-virgin-500ml/N28863091A/p/?o=d89f7af5b6fb2bac,EGP,574,689,4.0,4,unknown,
